#{"t_start": 1630091104.8534548, "env_id": null}
r,l,t
36.67002,51,704.927214
58.815083,76,705.266592
114.5583,136,710.065003
36.36465,42,713.30456
51.81583,91,713.898396
124.9876,153,714.190948
12.891309,15,716.644182
44.69511,58,717.007314
59.19663,76,717.637022
36.82294,55,718.199974
40.29747,63,718.474505
62.373306,83,719.368031
26.639996,45,720.784565
77.4013,101,722.478748
27.519104,35,722.478823
21.496864,35,722.765473
56.928055,78,723.591762
76.69293,99,723.849631
83.94405,100,724.704425
26.250603,39,727.068392
33.66388,39,727.81419
17.391018,19,728.061024
47.61853,52,729.559651
30.28323,43,729.805869
112.31517,142,731.49363
10.7991495,22,732.558146
26.288267,42,732.887081
34.083344,42,732.887142
150.01607,182,733.240544
39.018524,53,733.690377
9.855139,13,736.206671
122.04901,151,736.206754
41.521103,53,736.449919
21.015898,28,736.449979
31.958036,52,737.082158
2.977107,3,737.082241
72.68454,84,737.552966
19.247066,32,740.302554
22.134169,36,741.08232
11.342321,22,742.550177
15.687007,22,742.979542
52.63423,68,744.842944
93.57125,113,745.932402
35.696236,53,746.913723
33.268658,44,747.720857
27.367603,51,749.367502
72.25728,82,750.060852
17.61478,27,750.060938
65.07395,79,751.267364
24.672085,34,754.31627
13.095276,20,754.316338
21.377483,31,754.592893
103.32213,130,754.96128
64.07867,111,755.420841
62.063293,94,760.597472
49.72801,59,760.597538
41.56453,57,761.458349
5.5271573,6,762.265173
21.288315,40,765.392143
19.897964,28,765.701204
53.749664,69,766.520425
78.42976,112,768.419144
30.830359,41,769.658841
70.66742,109,771.61992
44.16143,75,772.433221
22.600994,32,773.030285
73.332924,131,773.694217
36.182076,43,776.459147
13.501028,16,776.874228
16.430525,20,778.495262
32.514874,74,778.857609
12.730454,14,780.175263
13.71061,20,781.528105
88.34983,121,781.528198
42.329823,70,782.384731
50.95668,60,784.059429
15.3113985,22,784.347982
42.107517,54,784.863552
94.64745,130,785.814277
10.19819,24,786.089202
95.833824,114,786.613996
55.7905,85,789.066473
97.645546,117,790.211994
100.20508,127,791.127876
22.752806,28,791.698935
45.275646,55,791.995606
129.39648,137,791.995677
35.205906,44,792.430255
26.123398,33,792.745269
31.459398,42,793.086321
24.211239,30,794.437591
14.204488,21,797.389629
128.64227,162,798.800682
31.423262,36,799.351892
29.398335,34,801.032993
28.292526,45,802.580183
19.408745,24,803.467819
21.588669,50,804.535545
41.077587,54,805.91213
66.54628,82,806.953533
75.540016,93,807.845886
19.447899,25,807.845948
112.09818,142,808.136094
45.26345,64,809.019696
33.425163,38,809.61871
50.925255,84,810.71721
62.41537,73,811.784989
62.011086,127,813.684139
23.716911,27,814.735845
90.98512,116,815.497635
33.009205,44,817.951517
54.482597,62,818.929275
19.833052,29,820.540914
70.198746,87,820.873432
53.68187,60,820.873516
62.598396,82,823.224612
90.80227,121,828.626536
64.59577,76,830.628667
48.779762,62,830.946349
34.378166,52,831.534858
